ret,vol,w,sharpe
0.21587226203207172,0.2221123051215739,[0.46477449 0.3508329  0.08743282 0.09695979],0.97190591000311
0.2343066176938856,0.23589724299340437,[0.27304999 0.49433421 0.12500235 0.10761345],0.9932571263685213
0.1266306735899554,0.25122387028404125,[0.28581259 0.53334497 0.07275373 0.10808871],0.5040551021158258
0.24679044412949358,0.25065335497969277,[0.29184809 0.52696692 0.09006403 0.09112095],0.9845886329727677
0.11600884938727019,0.2478640906443168,[0.24529745 0.57454748 0.10425122 0.07590385],0.46803411129747735
0.15652164634776755,0.24845051238457105,[0.24772531 0.58085562 0.08811363 0.08330544],0.6299912398872061
0.1340622898650783,0.2541695945634111,[0.26359932 0.56063963 0.08857179 0.08718926],0.5274521135990244
0.1959657796481129,0.25324688764767,[0.29949447 0.52797506 0.09439361 0.07813687],0.7738131807596013
0.2710333768709294,0.22653114081351214,[0.2788324  0.54225885 0.1251175  0.05379125],1.1964508539426504
0.255416569338093,0.22318426622602455,[0.28746534 0.54510188 0.12138772 0.04604506],1.144420140617914
0.1591793455598043,0.21175359866828,[0.23080737 0.62368425 0.10373397 0.0417744 ],0.7517196711691533
0.09869340101671459,0.2135541072942223,[0.22458303 0.6086635  0.12478379 0.04196967],0.46214705147647017
0.1463380208744617,0.20872989027939257,[0.23283063 0.61666219 0.12038639 0.03012079],0.7010879978836905
0.22093202126336203,0.17837334375570235,[0.38944441 0.50021222 0.06799128 0.04235208],1.2385932595732883
0.24366070329452488,0.15681995727932752,[0.3989966  0.44595389 0.12069838 0.03435113],1.553760806480241
0.21865090366936354,0.1523266066003034,[0.40301771 0.45736338 0.10064299 0.03897592],1.4354084854203537
0.3118328859160152,0.14278170765560352,[0.41927627 0.48846594 0.05686416 0.03539363],2.1839834460319762
0.30340233121474036,0.14298703961527756,[0.3970034  0.52962946 0.04555809 0.02780905],2.121886934865411
0.3221972872048513,0.137283606735502,[0.3687502  0.57529987 0.02689783 0.0290521 ],2.346946550039394
0.29500411503324364,0.13487299669041009,[0.2883347  0.66013301 0.02200695 0.02952533],2.1872733777125264
0.3010198672114072,0.13909148276147526,[0.29553681 0.65363481 0.01697651 0.03385187],2.164186197710029
0.28733488969263293,0.13837637936098096,[0.25559937 0.69371861 0.02162878 0.02905324],2.0764735355812824
0.37564994729653617,0.14324997340629556,[0.24047471 0.67688237 0.06248053 0.02016238],2.622338687848071
0.4167770346509913,0.13389953793940473,[3.00218658e-01 6.40770143e-01 5.90111991e-02 2.16840434e-19],3.1126099541852095
