Date,FB,MSFT,NOK,TSLA
2014-12-30,79.22000122070312,42.097618103027344,6.721719264984131,222.22999572753906
2014-12-31,78.0199966430664,41.587284088134766,6.64562463760376,222.41000366210938
2015-01-02,78.44999694824219,41.86484146118164,6.772449493408203,219.30999755859375
2015-01-05,77.19000244140625,41.47986602783203,6.47652530670166,210.08999633789062
2015-01-06,76.1500015258789,40.871036529541016,6.375064849853516,211.27999877929688
2015-01-07,76.1500015258789,41.39031982421875,6.391974449157715,210.9499969482422
2015-01-08,78.18000030517578,42.60794448852539,6.42579460144043,210.6199951171875
2015-01-09,77.73999786376953,42.24981689453125,6.383520126342773,206.66000366210938
2015-01-12,76.72000122070312,41.721588134765625,6.358154773712158,202.2100067138672
2015-01-13,76.44999694824219,41.5067138671875,6.307425022125244,204.25
2015-01-14,76.27999877929688,41.14857864379883,6.510344505310059,192.69000244140625
2015-01-15,74.05000305175781,40.718841552734375,6.282059669494629,191.8699951171875
2015-01-16,75.18000030517578,41.39928436279297,6.391974449157715,193.07000732421875
2015-01-20,76.23999786376953,41.533565521240234,6.484979629516602,191.92999267578125
2015-01-21,76.73999786376953,41.112770080566406,6.518798828125,196.57000732421875
2015-01-22,77.6500015258789,42.19610595703125,6.654079437255859,201.6199951171875
2015-01-23,77.83000183105469,42.240867614746094,6.679444789886475,201.2899932861328
2015-01-26,77.5,42.08866500854492,6.763994216918945,206.5500030517578
2015-01-27,75.77999877929688,38.194061279296875,6.772449493408203,205.97999572753906
2015-01-28,76.23999786376953,36.8779411315918,6.670989513397217,199.3699951171875
2015-01-29,78.0,37.61210632324219,6.552619457244873,205.1999969482422
2015-01-30,75.91000366210938,36.170650482177734,6.42579460144043,203.60000610351562
2015-02-02,74.98999786376953,36.958526611328125,6.42579460144043,210.94000244140625
2015-02-03,75.4000015258789,37.24503707885742,6.654079437255859,218.36000061035156
2015-02-04,75.62999725341797,37.45989227294922,6.501889228820801,218.5500030517578
2015-02-05,75.61000061035156,38.00604248046875,6.611804485321045,220.99000549316406
2015-02-06,74.47000122070312,37.97022247314453,6.468069553375244,217.36000061035156
2015-02-09,74.44000244140625,37.92546081542969,6.375064849853516,217.47999572753906
2015-02-10,75.19000244140625,38.140342712402344,6.569530010223389,216.2899932861328
2015-02-11,76.51000213623047,37.9433708190918,6.628714084625244,212.8000030517578
2015-02-12,76.2300033569336,38.57904052734375,6.738629341125488,202.8800048828125
2015-02-13,75.73999786376953,39.27737808227539,6.780904769897461,203.77000427246094
2015-02-17,75.5999984741211,39.29541778564453,6.797814846038818,204.35000610351562
2015-02-18,76.70999908447266,39.25033950805664,6.789359092712402,204.4600067138672
2015-02-19,79.41999816894531,39.2232780456543,6.789359092712402,211.7100067138672
2015-02-20,79.9000015258789,39.54789352416992,6.823178768157959,217.11000061035156
2015-02-23,78.83999633789062,39.80937957763672,6.738629341125488,207.33999633789062
2015-02-24,78.44999694824219,39.755279541015625,6.772449493408203,204.11000061035156
2015-02-25,79.55999755859375,39.665103912353516,6.780904769897461,203.75999450683594
2015-02-26,80.41000366210938,39.72822570800781,6.772449493408203,207.19000244140625
2015-02-27,78.97000122070312,39.53887176513672,6.772449493408203,203.33999633789062
2015-03-02,79.75,39.5659294128418,6.831634044647217,197.3300018310547
2015-03-03,79.5999984741211,39.024906158447266,6.814724445343018,199.55999755859375
2015-03-04,80.9000015258789,38.826534271240234,6.806270122528076,202.44000244140625
2015-03-05,81.20999908447266,38.87162780761719,6.814724445343018,200.6300048828125
2015-03-06,80.01000213623047,38.19536209106445,6.620259761810303,193.8800048828125
2015-03-09,79.44000244140625,38.63718795776367,6.64562463760376,190.8800048828125
2015-03-10,77.55000305175781,37.89780044555664,6.451159477233887,190.32000732421875
2015-03-11,77.56999969482422,37.852718353271484,6.535709381103516,193.74000549316406
2015-03-12,78.93000030517578,36.98710632324219,6.527254581451416,191.07000732421875
2015-03-13,78.05000305175781,37.31171417236328,6.510344505310059,188.67999267578125
2015-03-16,78.06999969482422,37.4740104675293,6.577984809875488,195.6999969482422
2015-03-17,79.36000061035156,37.60024642944336,6.484979629516602,194.72999572753906
2015-03-18,80.91000366210938,38.32159423828125,6.670989513397217,200.7100067138672
2015-03-19,82.75,38.13224792480469,6.577984809875488,195.64999389648438
2015-03-20,83.80000305175781,38.664241790771484,6.64562463760376,198.0800018310547
2015-03-23,84.43000030517578,38.646209716796875,6.662534236907959,199.6300048828125
2015-03-24,85.30999755859375,38.68227005004883,6.721719264984131,201.72000122070312
2015-03-25,82.91999816894531,37.383846282958984,6.64562463760376,194.3000030517578
2015-03-26,83.01000213623047,37.15842056274414,6.4596147537231445,190.41000366210938
2015-03-27,83.30000305175781,36.9420280456543,6.510344505310059,185.0
2015-03-30,83.19999694824219,36.93301010131836,6.535709381103516,190.57000732421875
2015-03-31,82.22000122070312,36.66249465942383,6.408884525299072,188.77000427246094
2015-04-01,81.66999816894531,36.71660232543945,6.383520126342773,187.58999633789062
2015-04-02,81.55999755859375,36.32888412475586,6.468069553375244,191.0
2015-04-06,82.44000244140625,37.46499252319336,6.594894886016846,203.10000610351562
2015-04-07,82.31999969482422,37.446956634521484,6.544164657592773,203.25
2015-04-08,82.27999877929688,37.34777069091797,6.544164657592773,207.6699981689453
2015-04-09,82.16999816894531,37.401885986328125,6.535709381103516,210.08999633789062
2015-04-10,82.04000091552734,37.618282318115234,6.814724445343018,210.89999389648438
2015-04-13,83.01000213623047,37.654354095458984,7.01764440536499,209.77999877929688
2015-04-14,83.5199966430664,37.555171966552734,6.7301740646362305,207.4600067138672
